CurrentTime ,Temperature (°C),Humidity (%),Pressure (hPa)
2025-09-10 16:28:48,15.00,82.00,989.00
2025-09-10 16:28:49,35.00,82.00,989.00
2025-09-10 16:28:50,35.00,71.00,989.00
2025-09-10 16:28:50,28.00,71.00,989.00
2025-09-10 16:28:50,28.00,71.00,938.00
2025-09-10 16:28:51,34.00,71.00,938.00
2025-09-10 16:28:52,34.00,70.00,938.00
2025-09-10 16:28:52,40.00,70.00,938.00
2025-09-10 16:28:52,40.00,70.00,919.00
2025-09-10 16:28:53,38.00,70.00,919.00
2025-09-10 16:28:54,38.00,59.00,919.00
2025-09-10 16:28:54,38.00,59.00,939.00
2025-09-10 16:28:54,22.00,59.00,939.00
2025-09-10 16:28:55,24.00,59.00,939.00
2025-09-10 16:28:56,24.00,83.00,939.00
2025-09-10 16:28:56,37.00,83.00,939.00
2025-09-10 16:28:56,37.00,83.00,1030.00
2025-09-10 16:28:57,32.00,83.00,1030.00
2025-09-10 16:28:58,32.00,63.00,1030.00
2025-09-10 16:28:58,18.00,63.00,1030.00
2025-09-10 16:28:58,18.00,63.00,984.00
2025-09-10 16:28:59,19.00,63.00,984.00
2025-09-10 16:29:00,19.00,60.00,984.00
2025-09-10 16:29:00,24.00,60.00,984.00
2025-09-10 16:29:00,24.00,60.00,1060.00
2025-09-10 16:29:01,22.00,60.00,1060.00
2025-09-10 16:29:02,22.00,74.00,1060.00
2025-09-10 16:29:02,21.00,74.00,1060.00
2025-09-10 16:29:02,21.00,74.00,993.00
2025-09-10 16:29:03,21.00,74.00,993.00
2025-09-10 16:29:04,21.00,61.00,993.00
2025-09-10 16:29:04,31.00,61.00,993.00
2025-09-10 16:29:04,31.00,61.00,1068.00
2025-09-10 16:29:05,16.00,61.00,1068.00
2025-09-10 16:29:06,16.00,58.00,1068.00
2025-09-10 16:29:06,23.00,58.00,1068.00
2025-09-10 16:29:06,23.00,58.00,1019.00
2025-09-10 16:29:07,33.00,58.00,1019.00
2025-09-10 16:29:08,33.00,99.00,1019.00
2025-09-10 16:29:08,22.00,99.00,1019.00
2025-09-10 16:29:08,22.00,99.00,1057.00
2025-09-10 16:29:09,29.00,99.00,1057.00
2025-09-10 16:29:10,29.00,23.00,1057.00
2025-09-10 16:29:10,35.00,23.00,1057.00
2025-09-10 16:29:10,35.00,23.00,1070.00
2025-09-10 16:29:11,37.00,23.00,1070.00
2025-09-10 16:29:12,37.00,65.00,1070.00
2025-09-10 16:29:12,37.00,65.00,1070.00
2025-09-10 16:29:12,37.00,65.00,1059.00
2025-09-10 16:29:13,18.00,65.00,1059.00
2025-09-10 16:29:14,18.00,70.00,1059.00
2025-09-10 16:29:14,27.00,70.00,1059.00
2025-09-10 16:29:14,27.00,70.00,1077.00
2025-09-10 16:29:15,33.00,70.00,1077.00
2025-09-10 16:29:16,33.00,53.00,1077.00
2025-09-10 16:29:16,29.00,53.00,1077.00
2025-09-10 16:29:16,29.00,53.00,1015.00
2025-09-10 16:29:17,40.00,53.00,1015.00
2025-09-10 16:29:18,40.00,35.00,1015.00
2025-09-10 16:29:18,37.00,35.00,1015.00
2025-09-10 16:29:18,37.00,35.00,996.00
2025-09-10 16:29:19,25.00,35.00,996.00
2025-09-10 16:29:20,25.00,45.00,996.00
2025-09-10 16:29:20,20.00,45.00,996.00
2025-09-10 16:29:20,20.00,45.00,941.00
2025-09-10 16:29:21,40.00,45.00,941.00
2025-09-10 16:29:22,40.00,53.00,941.00
2025-09-10 16:29:22,37.00,53.00,941.00
2025-09-10 16:29:22,37.00,53.00,1073.00
2025-09-10 16:29:23,18.00,53.00,1073.00
2025-09-10 16:29:24,18.00,63.00,1073.00
2025-09-10 16:29:24,23.00,63.00,1073.00
2025-09-10 16:29:24,23.00,63.00,1084.00
2025-09-10 16:29:25,33.00,63.00,1084.00
2025-09-10 16:29:26,33.00,66.00,1084.00
2025-09-10 16:29:26,36.00,66.00,1084.00
2025-09-10 16:29:26,36.00,66.00,1010.00
2025-09-10 16:29:27,21.00,66.00,1010.00
2025-09-10 16:29:28,21.00,46.00,1010.00
2025-09-10 16:29:28,16.00,46.00,1010.00
2025-09-10 16:29:28,16.00,46.00,983.00
2025-09-10 16:29:29,38.00,46.00,983.00
2025-09-10 16:29:30,38.00,42.00,983.00
2025-09-10 16:29:30,30.00,42.00,983.00
2025-09-10 16:29:30,30.00,42.00,909.00
2025-09-10 16:29:31,40.00,42.00,909.00
2025-09-10 16:29:32,40.00,71.00,909.00
2025-09-10 16:29:32,27.00,71.00,909.00
2025-09-10 16:29:32,27.00,71.00,1053.00
2025-09-10 16:29:33,40.00,71.00,1053.00
